FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.4971,4971,593003383,Ecuador,Western Galapagos Islands,Tropical Eastern Pacific,ETP224,Punta Priscila (1),-0.3713,-91.3813,2008-04-17T00:00:00,15,Chordata,Elasmobranchii,Dasyatidae,Dasyatis brevis,1,1,SEB,POINT (-91.3813 -0.3713)
M1_DATA.4998,4998,2001960,Australia,Manning-Hawkesbury,Temperate Australasia,PS8,Fingal Island South,-32.7493,152.1849,2009-10-21T00:00:00,7,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,2,1,TRD,POINT (152.18487 -32.74928)
M1_DATA.5275,5275,6002894,Australia,Leeuwin,Temperate Australasia,RI23,Roe Reef,-31.9743,115.5376,2011-05-23T00:00:00,11,Chordata,Elasmobranchii,Urolophidae,Urolophus gigas,2,1,MGM,POINT (115.53757 -31.97427)
M1_DATA.5307,5307,3000224,Australia,Bassian,Temperate Australasia,PPB15,Ricketts Pt,-37.9949,145.0294,2010-02-07T00:00:00,3.5,Chordata,Elasmobranchii,Rhinobatidae,Trygonorrhina fasciata,2,1,JEH,POINT (145.02939 -37.99492)
M1_DATA.5523,5523,912343826,Australia,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,NT102,Burston Bay,-11.222,136.6853,2013-08-10T00:00:00,3.5,Chordata,Elasmobranchii,Dasyatidae,Neotrygon kuhlii,1,1,IVS,POINT (136.6853 -11.222)
M1_DATA.5652,5652,2002381,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2010-10-24T00:00:00,14.6,Chordata,Elasmobranchii,Urolophidae,Urolophus paucimaculatus,2,1,AS,POINT (152.15925 -32.70976)
M1_DATA.5686,5686,912342491,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,EMR31,NE Inlet Elizabeth Reef,-29.9337,159.0971,2013-01-18T00:00:00,4,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,3,GJE,POINT (159.09714 -29.93369)
M1_DATA.5721,5721,3002529,Australia,Cape Howe,Temperate Australasia,CHMP-S9,Gabo Harbour,-37.5556,149.9076,2011-01-16T00:00:00,4,Chordata,Elasmobranchii,Rhinobatidae,Trygonorrhina fasciata,2,1,AJW,POINT (149.90763 -37.55564)
M1_DATA.5791,5791,2001940,Australia,Manning-Hawkesbury,Temperate Australasia,PS13,Pipeline,-32.718,152.1413,2009-11-29T00:00:00,10,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,2,TRD,POINT (152.14133 -32.71802)
M1_DATA.5863,5863,912340515,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI40,Horseshoe Reef,-31.5425,159.0619,2012-02-26T00:00:00,3,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,1,RSS,POINT (159.06194 -31.54252)
M1_DATA.20872,20872,593003443,Ecuador,Eastern Galapagos Islands,Tropical Eastern Pacific,ETP214,Punta Luz de Día Oeste,-1.2296,-90.4682,2008-04-28T00:00:00,15,Chordata,Elasmobranchii,Myliobatidae,Aetobatus ocellatus,1,1,RP,POINT (-90.46817 -1.22964)
M1_DATA.20902,20902,506002965,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP16,Manuelita Afuera,5.5621,-87.0466,2011-04-23T00:00:00,14,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,2,AGGM,POINT (-87.04663 5.56213)
M1_DATA.20919,20919,507003206,Panama,Nicoya,Tropical Eastern Pacific,ETP82,Punta Iglesia,7.633,-81.6943,2011-05-30T00:00:00,11,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,AB,POINT (-81.69427 7.63295)
M1_DATA.20935,20935,912342921,New Zealand,Northeastern New Zealand,Temperate Australasia,PAC168,"Opoupoto Bay, Mayor I",-37.2727,176.2412,2012-12-15T00:00:00,9,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus brachyurus,1,1,PS,POINT (176.2412 -37.27266)
M1_DATA.20967,20967,2001526,Australia,Cape Howe,Temperate Australasia,JBMP-S26,Outer Tubes,-35.0877,150.799,2010-03-29T00:00:00,10.2,Chordata,Elasmobranchii,Dasyatidae,Dasyatis brevicaudata,1,2,ATC,POINT (150.79903 -35.08773)
M1_DATA.20980,20980,912343250,Australia,Coral Sea,Central Indo-Pacific,CS101,Diamond Cay Islet,-17.4143,151.0726,2013-06-16T00:00:00,12.5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,3,SRG,POINT (151.07258 -17.41432)
