Londonmapper Data Sheet	http://www.londonmapper.org.uk/data/	
		
		
		
		
		
Wealthy number of households 2010		
Borough	Area	Total Population
City of London	Inner London	1415
Barking and Dagenham	Outer London	4651
Barnet	Outer London	56995
Bexley	Outer London	26952
Brent	Outer London	32411
Bromley	Outer London	58076
Camden	Inner London	25422
Croydon	Outer London	38658
Ealing	Outer London	40245
Enfield	Outer London	36767
Greenwich	Outer London	19815
Hackney	Inner London	10722
Hammersmith and Fulham	Inner London	21710
Haringey	Inner London	24032
Harrow	Outer London	36532
Havering	Outer London	34668
Hillingdon	Outer London	33874
Hounslow	Outer London	28960
Islington	Inner London	17645
Kensington and Chelsea	Inner London	26214
Kingston upon Thames	Outer London	25379
Lambeth	Inner London	20591
Lewisham	Inner London	17201
Merton	Outer London	29977
Newham	Inner London	11490
Redbridge	Outer London	32154
Richmond upon Thames	Outer London	41685
Southwark	Inner London	15684
Sutton	Outer London	25391
Tower Hamlets	Inner London	6624
Waltham Forest	Outer London	17549
Wandsworth	Inner London	38066
Westminster	Inner London	28201
		
Data Sources:		
"The measures of breadline poor and asset wealthy in this series come from a report for the Joseph Rowntree Foundation (JRF), published as ""Poverty, wealth and place in Britain, 1968 to 2005: Understanding the Transformation of the Prospects of Places"". "		
http://www.jrf.org.uk/publications/poverty-and-wealth-across-britain-1968-2005		
		
