Londonmapper Data Sheet	http://www.londonmapper.org.uk/data/	
		
		
		
		
		
Total Carbon Emissions, 2011		
Borough	Area	Kt of CO2
City of London	Inner London	1389
Barking and Dagenham	Outer London	782
Barnet	Outer London	1499
Bexley	Outer London	1020
Brent	Outer London	1149
Bromley	Outer London	1297
Camden	Inner London	1485
Croydon	Outer London	1421
Ealing	Outer London	1489
Enfield	Outer London	1326
Greenwich	Outer London	1066
Hackney	Inner London	814
Hammersmith and Fulham	Inner London	965
Haringey	Inner London	872
Harrow	Outer London	813
Havering	Outer London	1132
Hillingdon	Outer London	1799
Hounslow	Outer London	1414
Islington	Inner London	1024
Kensington and Chelsea	Inner London	1319
Kingston upon Thames	Outer London	730
Lambeth	Inner London	1220
Lewisham	Inner London	932
Merton	Outer London	818
Newham	Inner London	1428
Redbridge	Outer London	952
Richmond upon Thames	Outer London	840
Southwark	Inner London	1399
Sutton	Outer London	749
Tower Hamlets	Inner London	1920
Waltham Forest	Outer London	832
Wandsworth	Inner London	1133
Westminster	Inner London	2911
		
Data Sources:		
London Datastore, originally from DECC		
		
http://data.london.gov.uk/datastore/package/carbon-dioxide-emissions-borough		
		
		
