Londonmapper Data Sheet	http://www.londonmapper.org.uk/data/	
		
		
		
		
		
Population 2011		
Borough	Area	Total Population
City of London	Inner London	7400
Barking and Dagenham	Outer London	185900
Barnet	Outer London	356400
Bexley	Outer London	232000
Brent	Outer London	311200
Bromley	Outer London	309400
Camden	Inner London	220300
Croydon	Outer London	363400
Ealing	Outer London	338400
Enfield	Outer London	312500
Greenwich	Outer London	254600
Hackney	Inner London	246300
Hammersmith and Fulham	Inner London	182500
Haringey	Inner London	254900
Harrow	Outer London	239100
Havering	Outer London	237200
Hillingdon	Outer London	273900
Hounslow	Outer London	254000
Islington	Inner London	206100
Kensington and Chelsea	Inner London	158700
Kingston upon Thames	Outer London	160100
Lambeth	Inner London	303100
Lewisham	Inner London	275900
Merton	Outer London	199700
Newham	Inner London	308000
Redbridge	Outer London	279000
Richmond upon Thames	Outer London	187000
Southwark	Inner London	288300
Sutton	Outer London	190100
Tower Hamlets	Inner London	254100
Waltham Forest	Outer London	258200
Wandsworth	Inner London	307000
Westminster	Inner London	219400
		
Data Sources:		
Adapted from data from the Office for National Statistics licensed under the Open Government Licence v.1.0		
2011 Census, Population and Household Estimates for England and Wales		
Release from 17 July 2012		
Table P04 2011 Census: Usual resident population by five-year age group, local authorities in England and Wales		
http://www.ons.gov.uk/ons/rel/census/2011-census/population-and-household-estimates-for-england-and-wales/rft-p04.xls		
