Londonmapper Data Sheet	http://www.londonmapper.org.uk/data/	
		
		
		
		
		
Day-trip visitors, 2012		
Borough	Area	Total
City of London	Inner London	136466
Barking and Dagenham	Outer London	18795
Barnet	Outer London	23507
Bexley	Outer London	21233
Brent	Outer London	25041
Bromley	Outer London	35370
Camden	Inner London	53260
Croydon	Outer London	37096
Ealing	Outer London	17151
Enfield	Outer London	28438
Greenwich	Outer London	39534
Hackney	Inner London	24384
Hammersmith and Fulham	Inner London	24767
Haringey	Inner London	18548
Harrow	Outer London	28932
Havering	Outer London	22192
Hillingdon	Outer London	27178
Hounslow	Outer London	18466
Islington	Inner London	44356
Kensington and Chelsea	Inner London	35863
Kingston upon Thames	Outer London	23644
Lambeth	Inner London	29781
Lewisham	Inner London	27342
Merton	Outer London	14027
Newham	Inner London	33014
Redbridge	Outer London	14849
Richmond upon Thames	Outer London	24548
Southwark	Inner London	48603
Sutton	Outer London	17781
Tower Hamlets	Inner London	26548
Waltham Forest	Outer London	11562
Wandsworth	Inner London	30411
Westminster	Inner London	111425
		
Data Sources:		
London Datastore, originally from Great Britain Day Visits Survey (GBDVS 2012)		
		
http://data.london.gov.uk/datastore/package/daytime-population-borough		
		
		
