Londonmapper Data Sheet	http://www.londonmapper.org.uk/data/	
		
		
		
		
		
Stag Beetle (Lucanus cervus) sightings		
Borough	Area	Records
City of London	Inner London	0
Barking and Dagenham	Outer London	11
Barnet	Outer London	13
Bexley	Outer London	213
Brent	Outer London	11
Bromley	Outer London	1480
Camden	Inner London	8
Croydon	Outer London	410
Ealing	Outer London	100
Enfield	Outer London	166
Greenwich	Outer London	217
Hackney	Inner London	7
Hammersmith and Fulham	Inner London	21
Haringey	Inner London	4
Harrow	Outer London	8
Havering	Outer London	540
Hillingdon	Outer London	195
Hounslow	Outer London	128
Islington	Inner London	1
Kensington and Chelsea	Inner London	5
Kingston upon Thames	Outer London	231
Lambeth	Inner London	197
Lewisham	Inner London	356
Merton	Outer London	231
Newham	Inner London	2
Redbridge	Outer London	104
Richmond upon Thames	Outer London	471
Southwark	Inner London	128
Sutton	Outer London	879
Tower Hamlets	Inner London	0
Waltham Forest	Outer London	44
Wandsworth	Inner London	310
Westminster	Inner London	4
		
Data Sources:		
Record species sightings from www.gigl.org.uk		
Provided 2014 by Greenspace Information for Greater London (GiGL) with support by Daniel Raven-Ellison		
		
