Country,NumberOfSerialKillers,PctOfSerialKillers,CountrysShareOfWorldPop,Ratio
UnitedStates,2743,67.41,4.45,15.15
England,145,3.56,0.73,4.87
SouthAfrica,112,2.75,0.73,3.77
Canada,101,2.48,0.49,5.07
Italy,94,2.31,0.84,2.75
Japan,91,2.24,1.75,1.28
Germany,75,1.84,1.14,1.62
Australia,75,1.84,0.33,5.59
Russia,70,1.72,1.97,0.87
India,65,1.6,17.50,0.09
France,51,1.25,0.89,1.41
China,41,1.01,19.24,0.05
Mexico,24,0.59,1.71,0.34
Austria,19,0.47,1.20,0.39
Brazil,17,0.42,2.79,0.15
Poland,15,0.37,0.53,0.7
Scotland,13,0.32,0.07,4.37
Spain,12,0.29,0.65,0.45
Netherlands,11,0.27,0.23,1.16
Sweden,10,0.25,0.13,1.89
