Date,Location,State,Shape,Time,Summary,Upload Date
2/19/2015,Walburg,TX,Cigar,1 minute,Two bright shiny white cylindrical cigar-shaped objects rounded nose and tails.,2/20/2015
2/18/2015,Helotes,TX,Chevron,4-5 seconds,Translucent white in color and bird shape.,2/20/2015
2/18/2015,Frost,TX,Light,3 hours,"Assom ((sic. ""Awesome"")) i want 2 drive.",2/20/2015
2/10/2015,Midland,TX,Disk,~5 seconds,"UFO over Midland, Texas.",2/12/2015
2/1/2015,Frisco,TX,Light,3:00,"Large and unusual light observed in the evening sky just southwest of Frisco, Texas...",2/6/2015
1/29/2015,Salado/Jarrell,TX,Light,5 minutes,2 blue lights traveling low below cloud cover along I-35.,2/6/2015
1/29/2015,Houston,TX,Disk,~30 seconds,White disc with shiny top moving west from 77095 zip code.,2/6/2015
1/24/2015,Spring,TX,Fireball,8-10 minutes,7 fireballs take exact path in sky at intervals.,1/26/2015
1/24/2015,Austin,TX,Fireball,8 minutes,"5 silent odd shaped fireballs on precise path, evenly spaced from south turning east to horizon.",1/26/2015
1/23/2015,San Antonio,TX,Diamond,2 minutes,4 amber color diamond shape flying objects observed.,1/26/2015
1/23/2015,Buda,TX,Oval,5 seconds,"Looking up in our computer room out the widow, a bright blue/white object streaked across the sky.",1/26/2015
1/23/2015,San Antonio,TX,Triangle,unknown,"Was driving west on I-10 toward 1604 and saw 2 white lights that looked like wingtip lights, but they weren't flashing.",1/26/2015
1/20/2015,Austin,TX,Unknown,4 minutes,"Red lights over Austin, TX.",1/26/2015
1/20/2015,Henderson,TX,Triangle,5 minutes,"We heard loud humming. Went outside and saw large, red, pulsating triangle in the sky. It hovered, then disappeared",1/26/2015
1/17/2015,Houston,TX,Formation,5 minutes,Cluster formation of glowing orange balls in the sky.,1/26/2015
1/16/2015,Converse,TX,Oval,1 minute,Orange glowing ball flight low over converse park near Judson High School.,1/26/2015
1/16/2015,Victoria,TX,Unknown,45 seconds,"The movement of the light source appearing in different places in the sky was interesting, since I had never seen anything like this.",1/26/2015
1/16/2015,(Unspecified location),TX,Light,2 minutes,Strange light emitting different colors. ((NUFORC Note: Witness does not indicate location in Texas. PD)),1/26/2015
1/15/2015,Desoto,TX,Sphere,15 seconds,I was driving heading south to my home around 3:05 am and up to my right in the sky a oval white blue orb shot passed me heading south,1/16/2015
