Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",106.2062,102.8116,99.417,94.4542,89.4914,84.5286,79.5658,74.603,71.665,68.727,65.789,62.851,59.913,59.0044,58.0958,57.1872,56.2786,55.37,54.9542,54.5384,54.1226,53.7068,53.291,53.0288,52.7666,52.5044,52.2422,51.98,51.41,50.84,50.27,49.7,49.13,48.7648,48.3996,48.0344,47.6692,47.304,46.067,44.83,43.593,42.356,41.119,39.5738,38.0286,36.4834,34.9382,33.393,32.0268,30.6606,29.2944,27.9282,26.562,24.842,23.122,
Andorra,AND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,146.215,147.109,148.003,148.897,149.791,150.8782,151.9654,153.0526,154.1398,155.227,156.3758,157.5246,158.6734,159.8222,160.971,161.56,162.149,162.738,163.327,163.916,164.1812,164.4464,164.7116,164.9768,165.242,161.4432,157.6444,153.8456,150.0468,146.248,140.4764,134.7048,128.9332,123.1616,117.39,111.4708,105.5516,99.6324,93.7132,87.794,82.2638,76.7336,
Angola,AGO,"Adolescent fertility rate (births per 1,000 women ages 15-19)",234.684,235.002,235.32,235.32,235.32,235.32,235.32,235.32,235.002,234.684,234.366,234.048,233.73,233.73,233.73,233.73,233.73,233.73,233.412,233.094,232.776,232.458,232.14,231.822,231.504,231.186,230.868,230.55,229.914,229.278,228.642,228.006,227.37,225.38,223.39,221.4,219.41,217.42,215.1712,212.9224,210.6736,208.4248,206.176,202.6216,199.0672,195.5128,191.9584,188.404,185.912,183.42,180.928,178.436,175.944,171.2734,166.6028,
Albania,ALB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",54.4408,56.1654,57.89,55.368,52.846,50.324,47.802,45.28,42.1176,38.9552,35.7928,32.6304,29.468,28.6554,27.8428,27.0302,26.2176,25.405,23.6676,21.9302,20.1928,18.4554,16.718,16.6428,16.5676,16.4924,16.4172,16.342,16.8202,17.2984,17.7766,18.2548,18.733,18.8524,18.9718,19.0912,19.2106,19.33,19.311,19.292,19.273,19.254,19.235,19.108,18.981,18.854,18.727,18.6,19.0396,19.4792,19.9188,20.3584,20.798,21.1438,21.4896,
Arab World,ARB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",133.5609074,134.1644191,134.8610181,134.5047601,134.1034589,133.5682155,132.677447,131.6724995,129.2033928,126.7538439,124.4033905,122.1560049,120.0440809,118.1140501,116.1611058,114.1294339,112.0078521,109.8098582,106.054926,102.3594857,98.75443642,95.25549237,91.80510458,88.01490626,84.2210539,80.37313966,76.45420951,72.52568663,71.18217115,69.90169914,69.02056438,67.75545097,66.92939623,64.95311111,62.92985869,60.71579905,58.60470028,56.44641938,55.53517262,54.65951782,53.82947152,52.89716261,51.98437374,51.51507993,51.09572008,50.72762057,50.32876635,50.00619997,49.90145782,49.80388497,49.70354775,49.57989553,49.43460593,48.84320082,48.228153,
United Arab Emirates,ARE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",176.9228,176.4004,175.878,175.3504,174.8228,174.2952,173.7676,173.24,171.14,169.04,166.94,164.84,162.74,159.1704,155.6008,152.0312,148.4616,144.892,139.2702,133.6484,128.0266,122.4048,116.783,108.2294,99.6758,91.1222,82.5686,74.015,67.5586,61.1022,54.6458,48.1894,41.733,38.8972,36.0614,33.2256,30.3898,27.554,27.1554,26.7568,26.3582,25.9596,25.561,26.4232,27.2854,28.1476,29.0098,29.872,29.4226,28.9732,28.5238,28.0744,27.625,28.4394,29.2538,
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",61.378,61.238,61.098,60.9582,60.8184,60.6786,60.5388,60.399,61.9796,63.5602,65.1408,66.7214,68.302,71.4412,74.5804,77.7196,80.8588,83.998,82.0386,80.0792,78.1198,76.1604,74.201,74.0408,73.8806,73.7204,73.5602,73.4,73.3604,73.3208,73.2812,73.2416,73.202,72.5218,71.8416,71.1614,70.4812,69.801,68.8332,67.8654,66.8976,65.9298,64.962,64.0868,63.2116,62.3364,61.4612,60.586,61.264,61.942,62.62,63.298,63.976,63.9136,63.8512,
Armenia,ARM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",42.8244,44.2432,45.662,44.9044,44.1468,43.3892,42.6316,41.874,41.6992,41.5244,41.3496,41.1748,41,40.6554,40.3108,39.9662,39.6216,39.277,40.5264,41.7758,43.0252,44.2746,45.524,49.4208,53.3176,57.2144,61.1112,65.008,68.0198,71.0316,74.0434,77.0552,80.067,74.032,67.997,61.962,55.927,49.892,46.671,43.45,40.229,37.008,33.787,32.635,31.483,30.331,29.179,28.027,27.5424,27.0578,26.5732,26.0886,25.604,24.5562,23.5084,
American Samoa,ASM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",126.144,124.992,123.84,122.112,120.384,118.656,116.928,115.2,110.9474,106.6948,102.4422,98.1896,93.937,88.0272,82.1174,76.2076,70.2978,64.388,63.8322,63.2764,62.7206,62.1648,61.609,61.215,60.821,60.427,60.033,59.639,60.9356,62.2322,63.5288,64.8254,66.122,66.6432,67.1644,67.6856,68.2068,68.728,67.5386,66.3492,65.1598,63.9704,62.781,61.3234,59.8658,58.4082,56.9506,55.493,54.247,53.001,51.755,50.509,49.263,47.4636,45.6642,
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",44.8286,45.0668,45.305,45.9764,46.6478,47.3192,47.9906,48.662,48.6296,48.5972,48.5648,48.5324,48.5,45.1672,41.8344,38.5016,35.1688,31.836,30.687,29.538,28.389,27.24,26.091,25.0928,24.0946,23.0964,22.0982,21.1,21.055,21.01,20.965,20.92,20.875,20.5906,20.3062,20.0218,19.7374,19.453,18.9462,18.4394,17.9326,17.4258,16.919,16.9552,16.9914,17.0276,17.0638,17.1,16.7854,16.4708,16.1562,15.8416,15.527,14.966,14.405,
Austria,AUT,"Adolescent fertility rate (births per 1,000 women ages 15-19)",48.3914,50.8922,53.393,54.8498,56.3066,57.7634,59.2202,60.677,59.5646,58.4522,57.3398,56.2274,55.115,51.7388,48.3626,44.9864,41.6102,38.234,36.6126,34.9912,33.3698,31.7484,30.127,28.3784,26.6298,24.8812,23.1326,21.384,21.185,20.986,20.787,20.588,20.389,19.269,18.149,17.029,15.909,14.789,14.5004,14.2118,13.9232,13.6346,13.346,12.902,12.458,12.014,11.57,11.126,10.6138,10.1016,9.5894,9.0772,8.565,7.972,7.379,
Azerbaijan,AZE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",43.221,42.462,41.703,42.204,42.705,43.206,43.707,44.208,41.167,38.126,35.085,32.044,29.003,26.9148,24.8266,22.7384,20.6502,18.562,18.3956,18.2292,18.0628,17.8964,17.73,18.9194,20.1088,21.2982,22.4876,23.677,26.448,29.219,31.99,34.761,37.532,38.3038,39.0756,39.8474,40.6192,41.391,39.9808,38.5706,37.1604,35.7502,34.34,37.0942,39.8484,42.6026,45.3568,48.111,49.2276,50.3442,51.4608,52.5774,53.694,56.1272,58.5604,
Burundi,BDI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",46.1038,46.3864,46.669,46.929,47.189,47.449,47.709,47.969,48.068,48.167,48.266,48.365,48.464,48.6396,48.8152,48.9908,49.1664,49.342,49.2786,49.2152,49.1518,49.0884,49.025,49.2414,49.4578,49.6742,49.8906,50.107,49.8946,49.6822,49.4698,49.2574,49.045,48.7188,48.3926,48.0664,47.7402,47.414,45.2536,43.0932,40.9328,38.7724,36.612,35.9952,35.3784,34.7616,34.1448,33.528,32.8736,32.2192,31.5648,30.9104,30.256,29.4556,28.6552,
Belgium,BEL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",27.1146,28.2988,29.483,29.719,29.955,30.191,30.427,30.663,30.799,30.935,31.071,31.207,31.343,29.926,28.509,27.092,25.675,24.258,22.6378,21.0176,19.3974,17.7772,16.157,15.2002,14.2434,13.2866,12.3298,11.373,11.2622,11.1514,11.0406,10.9298,10.819,10.6906,10.5622,10.4338,10.3054,10.177,10.3316,10.4862,10.6408,10.7954,10.95,10.8372,10.7244,10.6116,10.4988,10.386,10.112,9.838,9.564,9.29,9.016,8.6962,8.3764,
Benin,BEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",85.7628,86.6854,87.608,88.0576,88.5072,88.9568,89.4064,89.856,90.4374,91.0188,91.6002,92.1816,92.763,94.3064,95.8498,97.3932,98.9366,100.48,102.795,105.11,107.425,109.74,112.055,114.264,116.473,118.682,120.891,123.1,123.8332,124.5664,125.2996,126.0328,126.766,125.9774,125.1888,124.4002,123.6116,122.823,121.3902,119.9574,118.5246,117.0918,115.659,113.5474,111.4358,109.3242,107.2126,105.101,102.1248,99.1486,96.1724,93.1962,90.22,87.405,84.59,
Burkina Faso,BFA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",184.6466,182.8298,181.013,180,178.987,177.974,176.961,175.948,174.5826,173.2172,171.8518,170.4864,169.121,168.6388,168.1566,167.6744,167.1922,166.71,165.4536,164.1972,162.9408,161.6844,160.428,158.3778,156.3276,154.2774,152.2272,150.177,149.106,148.035,146.964,145.893,144.822,144.379,143.936,143.493,143.05,142.607,141.506,140.405,139.304,138.203,137.102,135.6118,134.1216,132.6314,131.1412,129.651,126.8024,123.9538,121.1052,118.2566,115.408,112.6558,109.9036,
Bangladesh,BGD,"Adolescent fertility rate (births per 1,000 women ages 15-19)",204.0016,205.1018,206.202,206.9088,207.6156,208.3224,209.0292,209.736,208.5898,207.4436,206.2974,205.1512,204.005,202.8922,201.7794,200.6666,199.5538,198.441,196.4624,194.4838,192.5052,190.5266,188.548,184.779,181.01,177.241,173.472,169.703,164.4542,159.2054,153.9566,148.7078,143.459,139.096,134.733,130.37,126.007,121.644,118.5532,115.4624,112.3716,109.2808,106.19,103.6674,101.1448,98.6222,96.0996,93.577,91.9356,90.2942,88.6528,87.0114,85.37,84.43,83.49,
Bulgaria,BGR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",67.663,68.919,70.175,70.0762,69.9774,69.8786,69.7798,69.681,70.0012,70.3214,70.6416,70.9618,71.282,72.5114,73.7408,74.9702,76.1996,77.429,77.9108,78.3926,78.8744,79.3562,79.838,79.021,78.204,77.387,76.57,75.753,73.9452,72.1374,70.3296,68.5218,66.714,63.021,59.328,55.635,51.942,48.249,46.7848,45.3206,43.8564,42.3922,40.928,41.3264,41.7248,42.1232,42.5216,42.92,42.7538,42.5876,42.4214,42.2552,42.089,40.3382,38.5874,
Bahrain,BHR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",88.4922,89.0036,89.515,89.0036,88.4922,87.9808,87.4694,86.958,84.4004,81.8428,79.2852,76.7276,74.17,72.381,70.592,68.803,67.014,65.225,62.5096,59.7942,57.0788,54.3634,51.648,47.8268,44.0056,40.1844,36.3632,32.542,30.4976,28.4532,26.4088,24.3644,22.32,21.5114,20.7028,19.8942,19.0856,18.277,18.01,17.743,17.476,17.209,16.942,16.4902,16.0384,15.5866,15.1348,14.683,14.5034,14.3238,14.1442,13.9646,13.785,13.6638,13.5426,
"Bahamas, The",BHS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",91.8424,92.6312,93.42,89.5818,85.7436,81.9054,78.0672,74.229,76.3198,78.4106,80.5014,82.5922,84.683,86.0384,87.3938,88.7492,90.1046,91.46,90.2972,89.1344,87.9716,86.8088,85.646,82.4748,79.3036,76.1324,72.9612,69.79,69.748,69.706,69.664,69.622,69.58,68.0444,66.5088,64.9732,63.4376,61.902,58.3198,54.7376,51.1554,47.5732,43.991,43.0758,42.1606,41.2454,40.3302,39.415,38.368,37.321,36.274,35.227,34.18,32.353,30.526,
Bosnia and Herzegovina,BIH,"Adolescent fertility rate (births per 1,000 women ages 15-19)",42.748,44.636,46.524,47.862,49.2,50.538,51.876,53.214,52.7768,52.3396,51.9024,51.4652,51.028,49.4362,47.8444,46.2526,44.6608,43.069,42.1118,41.1546,40.1974,39.2402,38.283,38.1946,38.1062,38.0178,37.9294,37.841,35.2308,32.6206,30.0104,27.4002,24.79,24.7182,24.6464,24.5746,24.5028,24.431,23.025,21.619,20.213,18.807,17.401,17.0806,16.7602,16.4398,16.1194,15.799,14.8392,13.8794,12.9196,11.9598,11,10.0562,9.1124,
Belarus,BLR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",16.7274,16.9742,17.221,17.3916,17.5622,17.7328,17.9034,18.074,18.7576,19.4412,20.1248,20.8084,21.492,22.692,23.892,25.092,26.292,27.492,29.112,30.732,32.352,33.972,35.592,36.3838,37.1756,37.9674,38.7592,39.551,40.488,41.425,42.362,43.299,44.236,41.993,39.75,37.507,35.264,33.021,31.275,29.529,27.783,26.037,24.291,23.8478,23.4046,22.9614,22.5182,22.075,21.9436,21.8122,21.6808,21.5494,21.418,20.129,18.84,
Belize,BLZ,"Adolescent fertility rate (births per 1,000 women ages 15-19)",181.72,181.16,180.6,180.04,179.48,178.92,178.36,177.8,177.24,176.68,176.12,175.56,175,174.72,174.44,174.16,173.88,173.6,169.12,164.64,160.16,155.68,151.2,147.28,143.36,139.44,135.52,131.6,129.6232,127.6464,125.6696,123.6928,121.716,118.6248,115.5336,112.4424,109.3512,106.26,103.2454,100.2308,97.2162,94.2016,91.187,88.1834,85.1798,82.1762,79.1726,76.169,74.885,73.601,72.317,71.033,69.749,68.211,66.673,
Bermuda,BMU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",102.8358,102.3384,101.841,101.1998,100.5586,99.9174,99.2762,98.635,97.9606,97.2862,96.6118,95.9374,95.263,95.7486,96.2342,96.7198,97.2054,97.691,97.9194,98.1478,98.3762,98.6046,98.833,98.2938,97.7546,97.2154,96.6762,96.137,95.1572,94.1774,93.1976,92.2178,91.238,91.597,91.956,92.315,92.674,93.033,92.0094,90.9858,89.9622,88.9386,87.915,86.7062,85.4974,84.2886,83.0798,81.871,80.0126,78.1542,76.2958,74.4374,72.579,71.863,71.147,
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",92.0468,92.1774,92.308,90.3824,88.4568,86.5312,84.6056,82.68,81.1702,79.6604,78.1506,76.6408,75.131,75.1188,75.1066,75.0944,75.0822,75.07,76.022,76.974,77.926,78.878,79.83,79.9864,80.1428,80.2992,80.4556,80.612,80.4962,80.3804,80.2646,80.1488,80.033,80.7422,81.4514,82.1606,82.8698,83.579,83.0526,82.5262,81.9998,81.4734,80.947,78.9338,76.9206,74.9074,72.8942,70.881,70.3938,69.9066,69.4194,68.9322,68.445,67.8778,67.3106,
Barbados,BRB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",124.927,121.552,118.177,114.5556,110.9342,107.3128,103.6914,100.07,98.554,97.038,95.522,94.006,92.49,87.9342,83.3784,78.8226,74.2668,69.711,69.9228,70.1346,70.3464,70.5582,70.77,66.6038,62.4376,58.2714,54.1052,49.939,51.5326,53.1262,54.7198,56.3134,57.907,56.7314,55.5558,54.3802,53.2046,52.029,51.4456,50.8622,50.2788,49.6954,49.112,48.8638,48.6156,48.3674,48.1192,47.871,47.6772,47.4834,47.2896,47.0958,46.902,44.4146,41.9272,
Brunei Darussalam,BRN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",86.5598,87.0384,87.517,84.95,82.383,79.816,77.249,74.682,70.71,66.738,62.766,58.794,54.822,56.5188,58.2156,59.9124,61.6092,63.306,60.7636,58.2212,55.6788,53.1364,50.594,48.074,45.554,43.034,40.514,37.994,39.2154,40.4368,41.6582,42.8796,44.101,41.0324,37.9638,34.8952,31.8266,28.758,27.7258,26.6936,25.6614,24.6292,23.597,23.6402,23.6834,23.7266,23.7698,23.813,23.4052,22.9974,22.5896,22.1818,21.774,21.4452,21.1164,
Bhutan,BTN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",109.681,109.681,109.681,109.681,109.681,109.681,109.681,109.681,109.681,109.681,109.681,109.681,109.681,109.681,109.681,109.681,109.681,109.681,109.3864,109.0918,108.7972,108.5026,108.208,108.8206,109.4332,110.0458,110.6584,111.271,109.4906,107.7102,105.9298,104.1494,102.369,100.3026,98.2362,96.1698,94.1034,92.037,87.655,83.273,78.891,74.509,70.127,65.9384,61.7498,57.5612,53.3726,49.184,44.892,40.6,36.308,32.016,27.724,25.209,22.694,
Botswana,BWA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",159.6744,160.0362,160.398,160.6392,160.8804,161.1216,161.3628,161.604,160.8612,160.1184,159.3756,158.6328,157.89,157.0216,156.1532,155.2848,154.4164,153.548,151.6136,149.6792,147.7448,145.8104,143.876,140.5436,137.2112,133.8788,130.5464,127.214,118.8268,110.4396,102.0524,93.6652,85.278,82.6834,80.0888,77.4942,74.8996,72.305,69.9218,67.5386,65.1554,62.7722,60.389,58.1482,55.9074,53.6666,51.4258,49.185,47.1478,45.1106,43.0734,41.0362,38.999,36.3236,33.6482,
Central African Republic,CAF,"Adolescent fertility rate (births per 1,000 women ages 15-19)",171.8128,172.6954,173.578,173.8722,174.1664,174.4606,174.7548,175.049,175.049,175.049,175.049,175.049,175.049,174.2636,173.4782,172.6928,171.9074,171.122,169.7654,168.4088,167.0522,165.6956,164.339,162.7412,161.1434,159.5456,157.9478,156.35,153.7594,151.1688,148.5782,145.9876,143.397,141.5976,139.7982,137.9988,136.1994,134.4,132.0272,129.6544,127.2816,124.9088,122.536,119.3534,116.1708,112.9882,109.8056,106.623,104.9652,103.3074,101.6496,99.9918,98.334,95.7756,93.2172,
Canada,CAN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",55.6166,54.8488,54.081,52.2786,50.4762,48.6738,46.8714,45.069,43.4946,41.9202,40.3458,38.7714,37.197,35.7988,34.4006,33.0024,31.6042,30.206,29.142,28.078,27.014,25.95,24.886,24.5578,24.2296,23.9014,23.5732,23.245,23.6238,24.0026,24.3814,24.7602,25.139,24.133,23.127,22.121,21.115,20.109,18.9676,17.8262,16.6848,15.5434,14.402,14.3096,14.2172,14.1248,14.0324,13.94,13.4188,12.8976,12.3764,11.8552,11.334,10.7086,10.0832,
Central Europe and the Baltics,CEB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",46.71675161,46.05442478,45.34563944,45.5297012,45.68433084,45.83435455,45.99809204,46.17287738,45.91872468,45.63650933,45.35337687,45.0091899,44.62423025,45.55522763,46.50485112,47.49552358,48.5375237,49.58982062,49.49900158,49.49115197,49.6177515,49.85151833,50.25662102,49.91438505,49.40873657,48.69468725,47.82411259,46.81439268,45.32952875,43.82692844,42.33869738,40.88531368,39.43538149,36.88567557,34.36541616,31.83062209,29.31598867,26.76835233,25.76188691,24.79814875,23.94649328,23.01699695,22.15676694,22.38010209,22.58126692,22.70465594,22.65783243,22.46832358,21.90476904,21.42849409,21.08844009,20.81131508,20.62939548,20.06274894,19.5233311,
Switzerland,CHE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",18.0118,18.7704,19.529,20.0324,20.5358,21.0392,21.5426,22.046,21.554,21.062,20.57,20.078,19.586,17.9444,16.3028,14.6612,13.0196,11.378,10.866,10.354,9.842,9.33,8.818,8.3148,7.8116,7.3084,6.8052,6.302,6.3494,6.3968,6.4442,6.4916,6.539,6.3686,6.1982,6.0278,5.8574,5.687,5.618,5.549,5.48,5.411,5.342,5.1742,5.0064,4.8386,4.6708,4.503,4.301,4.099,3.897,3.695,3.493,3.2754,3.0578,
Channel Islands,CHI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",26.7686,27.5188,28.269,27.8276,27.3862,26.9448,26.5034,26.062,24.9498,23.8376,22.7254,21.6132,20.501,19.7618,19.0226,18.2834,17.5442,16.805,16.6196,16.4342,16.2488,16.0634,15.878,16.114,16.35,16.586,16.822,17.058,16.9692,16.8804,16.7916,16.7028,16.614,16.0464,15.4788,14.9112,14.3436,13.776,13.3964,13.0168,12.6372,12.2576,11.878,11.4848,11.0916,10.6984,10.3052,9.912,9.5432,9.1744,8.8056,8.4368,8.068,7.6044,7.1408,
Chile,CHL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",88.6918,89.1294,89.567,90.1584,90.7498,91.3412,91.9326,92.524,90.9788,89.4336,87.8884,86.3432,84.798,82.5238,80.2496,77.9754,75.7012,73.427,71.9452,70.4634,68.9816,67.4998,66.018,65.9308,65.8436,65.7564,65.6692,65.582,65.1952,64.8084,64.4216,64.0348,63.648,63.0848,62.5216,61.9584,61.3952,60.832,59.5564,58.2808,57.0052,55.7296,54.454,54.1002,53.7464,53.3926,53.0388,52.685,52.012,51.339,50.666,49.993,49.32,48.7144,48.1088,
China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",68.0332,66.6056,65.178,62.4794,59.7808,57.0822,54.3836,51.685,47.3522,43.0194,38.6866,34.3538,30.021,27.0994,24.1778,21.2562,18.3346,15.413,15.9844,16.5558,17.1272,17.6986,18.27,19.3592,20.4484,21.5376,22.6268,23.716,22.4152,21.1144,19.8136,18.5128,17.212,15.7114,14.2108,12.7102,11.2096,9.709,9.3968,9.0846,8.7724,8.4602,8.148,8.0894,8.0308,7.9722,7.9136,7.855,7.7882,7.7214,7.6546,7.5878,7.521,7.4344,7.3478,
