Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,High-technology exports (current US$),8920213,338615,118950,338168,266637,388761,69664,59102,141337,866862,560538,1073498,3325655,1627152
Andorra,AND,High-technology exports (current US$),4113229,10193596,9822198,16410433,27459185,25375265,15582884,,,,,,,
Afghanistan,AFG,High-technology exports (current US$),,,,,,,,,,,,,,
Angola,AGO,High-technology exports (current US$),,,,,,,,,,,,,,
Albania,ALB,High-technology exports (current US$),1489031,1858694,1950417,3614505,4872125,3607944,3968947,9945986,6296633,5832068,8585833,6202700,4819147,6256686
Arab World,ARB,High-technology exports (current US$),861955361,827430225,942063102,1162803371,1227386650,1313886262,1722503887,1763771723,2038301280,1483228146,2325783024,,,
United Arab Emirates,ARE,High-technology exports (current US$),5003130,17105411,7267038,8237510,10354212,43157534,26369910,39672400,204925025,23373326,50474248,66644653,,
Argentina,ARG,High-technology exports (current US$),797074012,800150443,600022456,710281801,761458020,840303735,1043916907,1139881387,1948517138,1546820304,1648289776,1978069865,1945836328,2433526528
Armenia,ARM,High-technology exports (current US$),3966685,6167674,3442977,4703718,4226900,3457721,5101971,3992200,6476229,3937441,3759946,5737622,7045295,8886596
American Samoa,ASM,High-technology exports (current US$),,,,,,,,,,,,,,
Antigua and Barbuda,ATG,High-technology exports (current US$),1813,,,,,22896,,1208,,0,0,0,0,0
Australia,AUS,High-technology exports (current US$),2758525183,2678568038,2957076670,2744007506,3101865568,3289128981,3374471837,3259874731,3793610041,3246664637,3826224230,4859392142,4760970576,4565211317
Austria,AUT,High-technology exports (current US$),7359867511,7692868384,9507515015,11393207594,14708635263,13019354902,14330800978,14554088272,15326989392,12254877472,13721385414,15705949135,16175823634,18412394058
Azerbaijan,AZE,High-technology exports (current US$),6170398,9074523,10144360,8654984,8262913,6099097,9073107,15493641,6470757,4422662,5712075,8042867,41513310,71872403
Burundi,BDI,High-technology exports (current US$),57,7034,98465,251014,119141,154570,20353,698983,1099093,1996065,529867,39,446314,
Belgium,BEL,High-technology exports (current US$),15704395243,16346161208,15375807398,18197887754,20958529240,23385203121,23738808555,24932327620,28302042123,29552842926,31948749412,34680646884,36503921134,
Benin,BEN,High-technology exports (current US$),14093,14813,297865,21078,14905,24452,50971,228291,490789,829993,304055,202121,810987,549020
Burkina Faso,BFA,High-technology exports (current US$),1056535,2064834,653222,1282039,2397221,5708913,,1869252,231380,258159,2864513,2552612,,13894791
Bangladesh,BGD,High-technology exports (current US$),10591240,9126275,6571088,14958984,15967424,27624176,23480859,133700302,58908946,37952009,31530160,39378724,,
Bulgaria,BGR,High-technology exports (current US$),78619198,89940248,146746565,220010271,251557237,331842164,492315052,614618711,754677723,709153582,802458914,1015453449,982455482,1127973668
Bahrain,BHR,High-technology exports (current US$),217021,61808,51347,706072,445176,407033,329821,487802,37433131,295469,964226,1619723,,
"Bahamas, The",BHS,High-technology exports (current US$),7208849,586422,2312792,0,0,666,727334,300,0,76,3454,0,0,0
Bosnia and Herzegovina,BIH,High-technology exports (current US$),,,,10132143,17005162,28055487,46146287,56222543,133149252,78689990,70648090,102729055,77945331,80264967
Belarus,BLR,High-technology exports (current US$),182809700,206087500,217841300,231850900,227388400,224373500,277732200,358219800,418870600,319054500,406565000,510644600,620056400,766682600
Belize,BLZ,High-technology exports (current US$),4,166,90,12169,62,2400,685987,9617,4424,13109,,268516,,0
Bermuda,BMU,High-technology exports (current US$),,,,,,,,,,,,,488596,2627023
Bolivia,BOL,High-technology exports (current US$),157943329,37717524,14914562,20959955,27811000,27275120,96497620,15413394,17442409,14815916,37069777,48204595,52913604,44104415
Brazil,BRA,High-technology exports (current US$),5990406897,6056632979,5223572467,4514943803,5953916611,8031342096,8418095630,9076353529,10285555636,7896042718,8121872800,8414889217,8820260626,8391851904
Barbados,BRB,High-technology exports (current US$),22340068,19077539,12765733,13343863,12900277,21716027,25169271,12923375,5505582,11355774,18332852,21207630,19711310,21254959
Brunei Darussalam,BRN,High-technology exports (current US$),,53,321,977,25239183,,16386077,,,,,,65481453,53165101
Bhutan,BTN,High-technology exports (current US$),,,,,,5332666,10506554,1941205,9426,439945,394616,272,,
Botswana,BWA,High-technology exports (current US$),12621851,5823501,12780910,14759407,12524242,16535910,15049990,15946359,20963734,24375930,14725119,44536509,61114300,24724995
Central African Republic,CAF,High-technology exports (current US$),44715,473089,15491,26884,41334,19255,133540,213932,7456,897373,477838,1394,134458,1325
Canada,CAN,High-technology exports (current US$),32917189684,26883195443,22536924400,22651716240,21526068655,25351657258,26734980308,26310508820,26911377699,23210217037,23963441244,25017006457,24038732199,29136849244
Central Europe and the Baltics,CEB,High-technology exports (current US$),11990367974,12819672904,16534326106,20551771568,28950414328,31316820407,37728115960,44309329967,54583799693,47739472208,57632243707,69024211983,62158661419,65113288254
Switzerland,CHE,High-technology exports (current US$),15866413327,17147574973,19694009164,23085157546,26652824516,28272674039,31113885408,35207666321,42508223136,39315285837,42679710697,50124292139,50101572777,53350361422
Channel Islands,CHI,High-technology exports (current US$),,,,,,,,,,,,,,
Chile,CHL,High-technology exports (current US$),99129968,105903451,110617464,168562236,265703543,415258316,483239465,571705344,599123429,393889979,486839755,507261557,503029330,506333729
China,CHN,High-technology exports (current US$),41735539452,49409510874,69226431383,1.08669E+11,1.63007E+11,2.15928E+11,2.73132E+11,3.02773E+11,3.40118E+11,3.09601E+11,4.0609E+11,4.57107E+11,5.05646E+11,5.60058E+11
