Country Name,Country Code,Indicator Name,Indicator Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,3.18,,,,,,,,5.43,,,,,,,
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,9.15,,,,,,8.19,,,8.4,,,8.87,,,,8.85,,,
Arab World,ARB,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,5.11,4.61,,,,4.82,4.6,4.45,4.38,3.76,3.51,3.55,3.41,3.49,3.19,2.58,2.75,2.72,3.21,3.43,3.58,3.86,3.93,3.93,4.36,4.58,4.73,4.75,,
Armenia,ARM,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,5.54,,,7.56,,7.73,8.05,8.66,7.59,8.05,8.53,8.73,8.88,9.11,8.94,8.77,8.72,8.48,,
American Samoa,ASM,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,7.67,,,,7.47,,,,7.26,,,,,,6.8,,,,,,6.94,,7.03,,,,,7.09,,7.09,,,,,
Austria,AUT,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,8.49,8.76,8.58,7.98,7.98,7.67,8.04,7.83,7.78,,,
Azerbaijan,AZE,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,7.07,,,,,,7.43,12.86,12.2,13.32,13.37,,,,,,,,,,
Burundi,BDI,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,7.94,,,,,,5.14,,,,,,,,8.92,,,,,,,,,
Belgium,BEL,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,8.37,8.28,8.56,8.34,8.24,8.36,8.45,8.3,8.62,,,
Benin,BEN,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,6.98,,,,,,,,6.06,,,,
Burkina Faso,BFA,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,5.53,,,,5.15,,,,,5.77,,,,,,6.7,,,,,,
Bangladesh,BGD,Income share held by lowest 20%,SI.DST.FRST.20,,,9.72,,10.04,,,9.45,,,9.62,,,,8.78,,,,,8.72,,,,,8.85,,,,,8.89,,,,,
Bulgaria,BGR,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,10.45,,,8.33,,10.22,7.33,,10.12,,,,7.06,,8.75,,,5.64,8.5,6.94,6.79,6.26,6.41,6.16,,,
Bahrain,BHR,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,8.88,,,7.39,,,7.48,,,,,,,,
Belarus,BLR,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,10.48,,,,,11.12,,8.5,,,8.31,8.07,8.41,8.17,8.33,8.39,9.35,8.83,8.79,8.8,9.19,9.06,9.04,9.37,9.65,,,
Belize,BLZ,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,2.96,3.09,2.35,3.35,2.65,3.32,3.21,,,,,,,,,,,,,,,,
Bermuda,BMU,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,5.61,,,4.56,,,,2.03,,1.28,0.8,1.61,1.48,,3.09,1.89,2.11,2.7,2.97,2.91,,3.69,3.27,3.42,,
