Country Name,Country Code,Indicator Name,Indicator Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,56.12,,,,,,,,48.54,,,,,,,
Albania,ALB,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,36.12,,,,,,40.92,,,39.17,,,39,,,,37.82,,,
Arab World,ARB,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Income share held by highest 20%,SI.DST.05TH.20,,,,,,48.43,50.49,,,,52.42,50.86,49.9,50.96,53.79,53.95,53.65,55.08,54.16,55.15,57,57.78,57.1,54.15,53.32,52.39,51.63,50.66,49.71,49.38,48.66,47.51,47.23,,
Armenia,ARM,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,50.6,,,44.18,,43.91,43.51,42.16,45.77,44.68,41.4,38.87,39.71,38.91,40.31,40.39,39.38,40.25,,
American Samoa,ASM,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Income share held by highest 20%,SI.DST.05TH.20,39.17,,,,40.25,,,,40.59,,,,,,40.78,,,,,,41.15,,41.11,,,,,42.83,,42.16,,,,,
Austria,AUT,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,38.55,37.54,38.29,38.69,38.61,39.34,38.4,38.68,38.41,,,
Azerbaijan,AZE,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,42.01,,,,,,44.5,30.33,31.02,29.71,30.19,,,,,,,,,,
Burundi,BDI,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,41.63,,,,,,47.96,,,,,,,,42.88,,,,,,,,,
Belgium,BEL,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,39.19,38.35,37.01,38.15,37.38,37.23,37.23,36.92,36.41,,,
Benin,BEN,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,46.21,,,,,,,,50.72,,,,
Burkina Faso,BFA,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,55.01,,,,56.59,,,,,49.81,,,,,,47.06,,,,,,
Bangladesh,BGD,Income share held by highest 20%,SI.DST.05TH.20,,,35.84,,37.24,,,38.6,,,37.36,,,,42.44,,,,,42.37,,,,,42.1,,,,,41.35,,,,,
