Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,29713.23929,71831.44599,55865.92179,55865.92179,,1534.999945,,,,,
Andorra,AND,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,
Afghanistan,AFG,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,630707.26,727817.43,,408837.34,,,,
Angola,AGO,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,49430571.11,1339588442,12021694.12,12000000,,,,,,,
Albania,ALB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,505314.458,723627.4161,7530000,39134188.22,17207967.41,741635.9962,13323433.57,1668465.296,1184975.49,750876.1494,
Arab World,ARB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,174411828.8,318268578.5,157473828.2,41334881.87,64039306.12,48832293.59,43414567.3,30514082.14,98645545.87,,
United Arab Emirates,ARE,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,
Argentina,ARG,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,51080000,71320000,106180000,104770000,101688206.1,144699285,176364885.1,180015412.2,175331363.6,129544481.8,
Armenia,ARM,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,
American Samoa,ASM,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,
Antigua and Barbuda,ATG,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,
Australia,AUS,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,573756156.6,641546473.1,713645961,746149101.7,789823546.5,978059795.2,948333508.2,859824156.7,813652776.3,890864775.9,
Austria,AUT,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,390689679.2,707356755.1,945184743.3,1195588998,1025767360,926081785.4,1038338525,1096821485,1069548892,1073040973,
Azerbaijan,AZE,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,6000,56000,22000,13000,1800000,149000,23000,28000,,,
Burundi,BDI,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,4678.554247,4228.753007,45463.58225,,
Belgium,BEL,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,1360430546,1542293270,1678912247,1515499627,2556359035,2480815508,2531850757,2654492682,3358239113,3294168381,
Benin,BEN,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,1912.447724,,20098.02227,,2019.072068,,,,,
Burkina Faso,BFA,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,78410.35668,102239.5079,37962.93096,8471.232813,448233.999,,,,,
Bangladesh,BGD,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,415299.5036,175799.7508,28891.03218,43686.18539,362184.4695,546516.6729,992520.508,243886.2594,419654.8198,902006.1686,
Bulgaria,BGR,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,5049809.512,10516830.66,10864074.81,11411533.08,10027643.6,16391612.25,13009725.55,22812888.06,27696348.76,33700000,
Bahrain,BHR,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,
"Bahamas, The",BHS,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,3709692.303,4293126.432,4772375.147,12390550.89,15124105.31,12827695.8,13158734.52,17531852.25,13375078.41,
Belarus,BLR,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,3100000,5900000,3100000,4700000,9500000,8500000,22800000,22900000,27700000,38800000,
Belize,BLZ,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,2500000,2500000,,,
Bermuda,BMU,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,230000,55773.40506,109679.9642,25642.8863,3272.417824,8384,8589.408,9281.910864,,
Bolivia,BOL,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,1920000,1780000,2005000,2250000,2500000,2804000,7178601.88,15205383.63,17905865.06,18938481.88,
